product_id,product_name,category,series_id,launch_date,price,cost,material,color,style,size,weight,feature_tags,target_user,platform,views,clicks,consultations,conversions,revenue,refund_count,review_count,avg_rating,is_new_version,parent_product_id
p_0001,桌面陪伴机器人 alarm+music_playback版,hardware_device,desktop_robot_v1,2026-04-22,1493.85,680,plastic,white,cute,standard,2.32,alarm|music_playback|emotion_companion|desktop_decoration,solo_founders,xiaohongshu,14298,782,97,28,41827.8,0,7,4.63,0,
p_0002,桌面陪伴机器人 music_playback+voice_interaction版,hardware_device,desktop_robot_v1,2026-04-19,1104.15,680,metal,white,classic,M,1.58,music_playback|voice_interaction,students,douyin,11819,584,80,20,22083.0,0,7,4.92,0,
p_0003,桌面陪伴机器人 touch_interaction+voice_interaction版,hardware_device,desktop_robot_v1,2026-04-23,1493.85,680,metal,blue,cute,standard,2.33,touch_interaction|voice_interaction,tech_enthusiasts,xiaohongshu,5630,322,48,9,13444.65,0,3,4.03,0,
p_0004,桌面陪伴机器人 emotion_companion+voice_interaction版,hardware_device,desktop_robot_v1,2026-04-08,1493.85,680,silicone,white,tech,M,1.72,emotion_companion|voice_interaction|desktop_decoration,creators,douyin,16110,1092,161,56,83655.6,0,25,4.68,0,
p_0005,桌面陪伴机器人 emotion_companion+desktop_decoration版,hardware_device,desktop_robot_v1,2026-03-15,1493.85,680,metal,pink,cute,M,1.87,emotion_companion|desktop_decoration|voice_interaction,office_workers,bilibili,5757,408,64,18,26889.3,0,6,4.39,0,
p_0006,桌面陪伴机器人 emotion_companion+music_playback版,hardware_device,desktop_robot_v1,2026-02-10,1104.15,680,paper,black,classic,L,1.05,emotion_companion|music_playback,tech_enthusiasts,bilibili,11985,925,101,40,44166.0,1,11,4.68,1,p_0001
p_0007,桌面陪伴机器人 alarm+emotion_companion版,hardware_device,desktop_robot_v1,2026-02-24,1753.65,680,paper,blue,business,L,0.54,alarm|emotion_companion|voice_interaction,solo_founders,bilibili,7525,449,59,9,15782.85,0,4,3.72,1,p_0001
p_0008,桌面陪伴机器人 music_playback+alarm版,hardware_device,desktop_robot_v1,2026-06-07,1299.0,680,metal,pink,tech,M,2.49,music_playback|alarm|desktop_decoration,tech_enthusiasts,zhihu,15121,1081,149,49,63651.0,0,29,4.07,1,p_0001
p_0009,创作者复盘模板包 revenue_tracker+notion_template版,digital_product,creator_template_pack,2026-04-22,84.15,8,silicone,gray,classic,M,1.48,revenue_tracker|notion_template|ab_test_sheet,tech_enthusiasts,bilibili,4580,209,34,8,673.2,0,5,3.95,0,
p_0010,创作者复盘模板包 revenue_tracker+notion_template版,digital_product,creator_template_pack,2026-05-05,133.65,8,wood,white,minimal,M,0.92,revenue_tracker|notion_template|ab_test_sheet,office_workers,douyin,13040,549,58,21,2806.65,1,12,4.27,0,
p_0011,创作者复盘模板包 revenue_tracker+ab_test_sheet版,digital_product,creator_template_pack,2026-06-10,113.85,8,paper,blue,minimal,S,1.95,revenue_tracker|ab_test_sheet|title_formula|notion_template,tech_enthusiasts,xiaohongshu,7463,326,29,10,1138.5,0,3,4.25,0,
p_0012,创作者复盘模板包 title_formula+weekly_review版,digital_product,creator_template_pack,2026-03-10,113.85,8,fabric,pink,cute,M,1.52,title_formula|weekly_review|revenue_tracker|notion_template,solo_founders,zhihu,5375,321,75,18,2049.3,0,8,4.23,0,
p_0013,创作者复盘模板包 notion_template+revenue_tracker版,digital_product,creator_template_pack,2026-05-04,84.15,8,plastic,pink,business,M,2.01,notion_template|revenue_tracker|title_formula|ab_test_sheet,tech_enthusiasts,douyin,5289,297,34,11,925.65,0,3,4.53,1,p_0009
p_0014,创作者复盘模板包 ab_test_sheet+notion_template版,digital_product,creator_template_pack,2026-04-17,133.65,8,paper,black,minimal,M,0.43,ab_test_sheet|notion_template|weekly_review|revenue_tracker,students,wechat,6759,509,113,45,6014.25,1,25,3.84,0,
p_0015,创作者复盘模板包 notion_template+ab_test_sheet版,digital_product,creator_template_pack,2026-01-23,99.0,8,metal,white,business,standard,0.27,notion_template|ab_test_sheet|weekly_review,solo_founders,bilibili,16743,848,130,50,4950.0,0,17,3.82,1,p_0009
p_0016,创作者复盘模板包 ab_test_sheet+weekly_review版,digital_product,creator_template_pack,2026-04-19,99.0,8,silicone,black,minimal,S,0.71,ab_test_sheet|weekly_review|notion_template,office_workers,bilibili,14248,893,266,98,9702.0,3,42,4.74,0,
