content_id,content_group_id,account_id,account_name,platform,series_id,parent_content_id,content_similarity_group,knowledge_domain,topic,difficulty_level,title,title_style,content_type,cover_style,publish_time,weekday,hour,language,duration_sec,production_hours,followers_before,novelty_score,duplication_risk,user_fatigue_risk,views,likes,favorites,comments,shares,new_followers,consultations,conversions,revenue,cost,ad_spend,is_sponsored
c_0001,cg_001,acc_math_zhihu,数学知识知乎号,zhihu,math_transform_series,,cg_001,math_signal,小波变换,advanced,手把手讲清楚小波变换的核心方法,tutorial,short_video,clean_text,2026-03-08T08:00:00,Sunday,8,zh,335,10.78,25925,0.645,0.363,0.091,2136,59,97,29,16,10,4,1,150.09,100,0,0
c_0002,cg_002,acc_math_zhihu,数学知识知乎号,zhihu,robot_feature_series,,cg_002,AI_hardware,桌面陪伴机器人,beginner,用桌面陪伴机器人把效率提升一倍的方法,result_oriented,carousel,clean_text,2026-03-19T12:00:00,Thursday,12,zh,797,5.12,24304,0.58,0.37,0.093,3477,76,120,21,16,19,9,3,4937.01,50,0,0
c_0003,cg_003,acc_math_zhihu,数学知识知乎号,zhihu,math_transform_series,,cg_003,math_signal,拉普拉斯变换,intermediate,为什么你学了拉普拉斯变换还是不会用？,pain_point,short_video,diagram,2026-02-08T08:00:00,Sunday,8,zh,587,8.14,28689,0.81,0.28,0.07,7194,225,221,101,46,37,11,2,198.59,50,0,0
c_0004,cg_003,acc_math_bili,数学可视化B站号,bilibili,math_transform_series,,cg_003,math_signal,拉普拉斯变换,intermediate,我第一次真正理解拉普拉斯变换的过程,story,long_video,clean_text,2026-02-08T23:00:00,Sunday,23,zh,602,2.57,39608,0.899,0.02,0.005,3915,180,97,34,14,24,3,0,0.0,50,0,1
c_0005,cg_004,acc_math_zhihu,数学知识知乎号,zhihu,robot_feature_series,,cg_004,AI_hardware,桌面陪伴机器人,beginner,为什么你学了桌面陪伴机器人还是不会用？,pain_point,short_video,product_closeup,2026-01-14T12:00:00,Wednesday,12,zh,112,4.21,29016,0.932,0.189,0.047,8263,294,315,62,27,49,10,0,0.0,50,0,0
c_0006,cg_005,acc_math_zhihu,数学知识知乎号,zhihu,robot_feature_series,,cg_005,AI_hardware,桌面陪伴机器人,beginner,我用桌面陪伴机器人做了一个真实案例,case_study,long_video,clean_text,2026-03-07T23:00:00,Saturday,23,zh,225,1.33,21113,0.685,0.319,0.08,784,39,26,9,2,4,3,0,0.0,200,0,0
c_0007,cg_005,acc_robot_xhs,桌面机器人小红书,xiaohongshu,robot_feature_series,,cg_005,AI_hardware,桌面陪伴机器人,beginner,手把手讲清楚桌面陪伴机器人的核心方法,tutorial,short_video,screenshot,2026-03-08T12:00:00,Sunday,12,zh,661,8.38,40666,0.496,0.45,0.112,5393,122,158,27,15,32,5,0,0.0,200,0,1
c_0008,cg_006,acc_ai_cn_big,AI工具中文号,xiaohongshu,ai_tool_growth_series,,cg_006,solo_business,一人公司经营,beginner,为什么你学了一人公司经营还是不会用？,pain_point,short_video,diagram,2026-02-08T08:00:00,Sunday,8,zh,451,8.3,82532,0.658,0.389,0.097,5399,185,196,30,16,38,6,0,0.0,200,0,0
c_0009,cg_007,acc_ai_bili,AI工具B站号,bilibili,ai_tool_growth_series,,cg_007,creator_growth,内容复盘方法,beginner,手把手讲清楚内容复盘方法的核心方法,tutorial,livestream_clip,product_closeup,2026-04-19T21:00:00,Sunday,21,zh,558,1.69,53446,0.872,0.032,0.008,2162,110,85,9,7,12,2,0,0.0,50,0,0
c_0010,cg_008,acc_ai_bili,AI工具B站号,bilibili,ai_tool_growth_series,,cg_008,AI_tools,AI工具自动化,intermediate,为什么你学了AI工具自动化还是不会用？,pain_point,article,product_closeup,2026-04-12T21:00:00,Sunday,21,zh,0,4.2,47501,0.637,0.332,0.083,8647,383,278,40,29,36,9,0,0.0,50,0,0
