feedback_id,user_id,source_type,related_content_id,related_product_id,user_segment,country,platform,feedback_text,rating,sentiment,issue_type,severity,created_at,converted_after_feedback,retained_after_feedback
f_0001,u_027,beta_test,c_0026,,creator,US,zhihu,外观很喜欢，颜色也很治愈，适合放办公室。,4.2,positive,design,medium,2026-03-25T00:00:00,1,1
f_0002,u_041,survey,,p_0025,developer,TH,zhihu,机器人陪伴感很好，放在桌面上很可爱，有时候真的会想和它说话。,4.6,positive,emotional_value,low,2026-06-03T00:00:00,0,1
f_0003,u_032,support_ticket,c_0006,,developer,US,xiaohongshu,教程内容有用，但希望有更完整的案例和模板。,3.1,neutral,content_clarity,low,2026-03-10T00:00:00,1,1
f_0004,u_037,survey,c_0100,,creator,US,douyin,触摸反馈偶尔不灵敏，希望下一版优化。,2.4,negative,quality,high,2026-02-03T00:00:00,,
f_0005,u_012,private_message,,p_0029,developer,CN,bilibili,功能不错，但这个价格我会犹豫，希望有基础版。,3.8,neutral,pricing,low,2026-05-01T00:00:00,1,1
f_0006,u_076,private_message,,p_0030,creator,US,xiaohongshu,教程内容有用，但希望有更完整的案例和模板。,2.6,neutral,content_clarity,medium,2026-04-13T00:00:00,,
f_0007,u_012,beta_test,c_0016,,small_merchant,US,douyin,功能不错，但这个价格我会犹豫，希望有基础版。,4.2,neutral,pricing,low,2026-04-27T00:00:00,,1
f_0008,u_073,private_message,c_0043,,creator,SG,bilibili,机器人陪伴感很好，放在桌面上很可爱，有时候真的会想和它说话。,5.0,positive,emotional_value,low,2026-02-03T00:00:00,1,1
f_0009,u_037,private_message,c_0058,,creator,CN,bilibili,设置闹钟的路径不够直观，我找了很久。,2.6,negative,usability,medium,2026-01-24T00:00:00,1,1
f_0010,u_078,survey,,p_0001,creator,SG,zhihu,教程内容有用，但希望有更完整的案例和模板。,3.6,neutral,content_clarity,medium,2026-05-17T00:00:00,1,1
f_0011,u_032,support_ticket,,p_0001,solo_founder,TH,zhihu,语音反应有点慢，连续说两句话时容易卡住。,2.7,negative,performance,low,2026-02-27T00:00:00,0,
f_0012,u_086,support_ticket,,p_0003,developer,MY,douyin,如果能接入更多音乐平台就更好了。,4.3,positive,feature_request,low,2026-02-02T00:00:00,0,1
f_0013,u_079,private_message,,p_0019,small_merchant,TH,zhihu,功能不错，但这个价格我会犹豫，希望有基础版。,3.7,neutral,pricing,medium,2026-06-18T00:00:00,1,0
f_0014,u_048,survey,c_0042,,student,US,zhihu,语音反应有点慢，连续说两句话时容易卡住。,2.3,negative,performance,low,2026-04-05T00:00:00,1,0
f_0015,u_043,support_ticket,c_0036,,office_worker,TH,bilibili,语音反应有点慢，连续说两句话时容易卡住。,2.4,negative,performance,low,2026-06-16T00:00:00,,
f_0016,u_089,support_ticket,c_0062,,small_merchant,MY,wechat,模板包价格可以接受，如果加上视频讲解我愿意付更多。,4.0,positive,pricing,medium,2026-03-28T00:00:00,,
f_0017,u_079,support_ticket,,p_0009,office_worker,TH,wechat,不太确定数据会不会被上传，希望说明隐私策略。,2.3,negative,trust,high,2026-03-21T00:00:00,,1
f_0018,u_060,private_message,,p_0002,student,SG,zhihu,外观很喜欢，颜色也很治愈，适合放办公室。,4.6,positive,design,medium,2026-05-06T00:00:00,0,1
f_0019,u_002,private_message,,p_0014,creator,MY,douyin,如果能接入更多音乐平台就更好了。,4.7,positive,feature_request,medium,2026-01-22T00:00:00,0,
