content_id,title,platform,topic,content_type,publish_time,title_style,cover_style,duration_sec,production_hours,followers_before,impressions,views,likes,favorites,comments,shares,completion_rate,new_followers,consultations,conversions,revenue,ad_spend,is_sponsored,body,tags,series_id,parent_content_id,content_similarity_group,knowledge_domain,difficulty_level,novelty_score,duplication_risk,user_fatigue_risk
C0001,商业案例实操指南：从 0 到 1 完整流程 #01,xiaohongshu,商业案例,case_study,2026-02-27T01:08:13,tutorial,face_text,473,6.2,125180,26699,10988,429,1333,67,76,0.4628,44,44,18,20014.1,0.0,True,,,,,,,,,,
C0002,我用一个真实案例跑通了职场效率 #02,bilibili,职场效率,story,2026-02-28T01:08:13,story,screenshot,366,7.4,119065,13071,4699,220,95,34,4,0.4754,49,1,0,0.0,0.0,False,,,,,,,,,,
C0003,内容方法论高手和新手的区别在哪里 #03,douyin,内容方法论,review,2026-03-01T03:08:13,contrast,minimal,505,6.5,108369,19758,13341,618,703,109,47,0.4291,170,9,1,336.73,0.0,False,,,,,,,,,,
C0004,你做知识付费没结果，通常卡在这 3 个问题 #04,wechat,知识付费,listicle,2026-03-02T12:08:13,pain_point,contrast,523,4.8,54700,10895,8732,385,310,87,77,0.3389,62,86,43,65411.31,0.0,False,,,,,,,,,,
C0005,副业增长实操指南：从 0 到 1 完整流程 #05,zhihu,副业增长,opinion,2026-03-03T01:08:13,tutorial,product_demo,205,3.9,142758,24757,9013,395,573,106,66,0.3807,101,0,0,0.0,0.0,False,,,,,,,,,,
C0006,我用一个真实案例跑通了AI工具 #06,youtube,AI工具,case_study,2026-03-03T22:08:13,story,product_demo,659,10.6,27738,40085,18150,958,800,143,133,0.4992,199,14,3,2237.46,0.0,False,,,,,,,,,,
C0007,用副业增长拿到第一笔稳定收入 #07,tiktok,副业增长,tutorial,2026-03-05T04:08:13,result_oriented,face_text,842,5.6,109400,20265,9066,430,329,85,51,0.3953,176,5,0,0.0,0.0,False,,,,,,,,,,
C0008,产品化服务实操指南：从 0 到 1 完整流程 #08,instagram,产品化服务,story,2026-03-06T03:08:13,tutorial,screenshot,306,1.3,121730,27919,15164,660,2013,30,56,0.4635,96,61,8,3129.85,730.67,False,,,,,,,,,,
C0009,提升商业案例转化的 7 个动作 #09,substack,商业案例,case_study,2026-03-07T04:08:13,number,minimal,99,4.8,33472,14047,5163,171,240,58,25,0.4139,30,50,25,61778.04,0.0,False,,,,,,,,,,
C0010,用副业增长拿到第一笔稳定收入 #10,x,副业增长,listicle,2026-03-08T06:08:13,result_oriented,contrast,682,3.5,142679,22413,9038,374,292,34,39,0.6185,80,9,1,800.9,0.0,False,,,,,,,,,,
