feedback_id,user_id,source_type,related_content_id,related_product_id,user_segment,country,platform,feedback_text,rating,sentiment,issue_type,severity,created_at,converted_after_feedback,retained_after_feedback
F001,U1000,survey,C001,P001,office_user,CN,xiaohongshu,喜欢它主动提醒我休息，情绪陪伴很自然,5,positive,emotional_value,low,2026-05-20T13:11:05.772664,0,0
F002,U1001,comment,,P002,creator,CN,bilibili,价格有点高，但如果能接日历我愿意买,3,neutral,pricing,medium,2026-06-02T13:11:05.772840,1,0
F003,U1002,survey,C003,P003,office_user,CN,douyin,语音反应偶尔慢，商务场景会有点尴尬,3,negative,performance,high,2026-05-27T13:11:05.772998,1,0
F004,U1003,beta_test,,P004,office_user,CN,wechat,触摸互动很有记忆点，适合放办公室展示,3,positive,design,low,2026-05-15T13:11:05.773150,0,0
F005,U1004,survey,C005,P005,small_shop,CN,xiaohongshu,希望能自动生成周计划和复盘提醒,5,neutral,feature_request,medium,2026-05-21T13:11:05.773302,1,0
F006,U1005,beta_test,,P006,education,CN,bilibili,模板好用，但新手不知道第一步做什么,5,negative,usability,medium,2026-05-31T13:11:05.773453,0,1
F007,U1006,survey,C007,P001,office_user,CN,xiaohongshu,喜欢它主动提醒我休息，情绪陪伴很自然,3,positive,emotional_value,low,2026-06-02T13:11:05.773602,1,0
F008,U1007,comment,,P002,creator,CN,bilibili,价格有点高，但如果能接日历我愿意买,4,neutral,pricing,medium,2026-05-30T13:11:05.773753,0,0
F009,U1008,beta_test,C009,P003,creator,CN,douyin,语音反应偶尔慢，商务场景会有点尴尬,4,negative,performance,high,2026-05-22T13:11:05.773903,0,1
F010,U1009,comment,,P004,creator,CN,wechat,触摸互动很有记忆点，适合放办公室展示,4,positive,design,low,2026-05-30T13:11:05.774052,0,1
F011,U1010,beta_test,C011,P005,small_shop,CN,xiaohongshu,希望能自动生成周计划和复盘提醒,5,neutral,feature_request,medium,2026-05-31T13:11:05.774202,0,1
F012,U1011,customer_service,,P006,education,CN,bilibili,模板好用，但新手不知道第一步做什么,5,negative,usability,medium,2026-05-16T13:11:05.774351,1,1
F013,U1012,customer_service,C013,P001,education,CN,xiaohongshu,喜欢它主动提醒我休息，情绪陪伴很自然,5,positive,emotional_value,low,2026-05-21T13:11:05.774502,1,0
F014,U1013,beta_test,,P002,small_shop,CN,bilibili,价格有点高，但如果能接日历我愿意买,5,neutral,pricing,medium,2026-05-16T13:11:05.774649,1,1
F015,U1014,comment,C015,P003,office_user,CN,douyin,语音反应偶尔慢，商务场景会有点尴尬,5,negative,performance,high,2026-05-25T13:11:05.774799,1,1
F016,U1015,comment,,P004,small_shop,CN,wechat,触摸互动很有记忆点，适合放办公室展示,3,positive,design,low,2026-05-29T13:11:05.774948,0,1
F017,U1016,beta_test,C017,P005,education,CN,xiaohongshu,希望能自动生成周计划和复盘提醒,5,neutral,feature_request,medium,2026-05-27T13:11:05.775109,1,0
F018,U1017,comment,,P006,creator,CN,bilibili,模板好用，但新手不知道第一步做什么,4,negative,usability,medium,2026-05-18T13:11:05.775259,1,0
F019,U1018,comment,C019,P001,education,CN,xiaohongshu,喜欢它主动提醒我休息，情绪陪伴很自然,3,positive,emotional_value,low,2026-06-01T13:11:05.775412,0,1
F020,U1019,beta_test,,P002,office_user,CN,bilibili,价格有点高，但如果能接日历我愿意买,3,neutral,pricing,medium,2026-05-22T13:11:05.775559,0,1
F021,U1020,customer_service,C001,P003,office_user,CN,douyin,语音反应偶尔慢，商务场景会有点尴尬,5,negative,performance,high,2026-05-31T13:11:05.775708,1,0
F022,U1021,beta_test,,P004,office_user,CN,wechat,触摸互动很有记忆点，适合放办公室展示,3,positive,design,low,2026-05-29T13:11:05.775856,0,0
F023,U1022,comment,C003,P005,creator,CN,xiaohongshu,希望能自动生成周计划和复盘提醒,5,neutral,feature_request,medium,2026-05-18T13:11:05.776005,1,1
F024,U1023,customer_service,,P006,education,CN,bilibili,模板好用，但新手不知道第一步做什么,3,negative,usability,medium,2026-05-30T13:11:05.776153,0,0
F025,U1024,beta_test,C005,P001,creator,CN,xiaohongshu,喜欢它主动提醒我休息，情绪陪伴很自然,4,positive,emotional_value,low,2026-05-30T13:11:05.776302,0,0
F026,U1025,comment,,P002,small_shop,CN,bilibili,价格有点高，但如果能接日历我愿意买,4,neutral,pricing,medium,2026-05-26T13:11:05.776461,0,0
F027,U1026,survey,C007,P003,education,CN,douyin,语音反应偶尔慢，商务场景会有点尴尬,3,negative,performance,high,2026-06-01T13:11:05.776610,0,0
F028,U1027,beta_test,,P004,small_shop,CN,wechat,触摸互动很有记忆点，适合放办公室展示,3,positive,design,low,2026-05-29T13:11:05.776758,1,1
