revenue_id,date,amount,revenue_type,platform,content_id,product_id,client_name,status,note
r_0001,2026-03-08,150.09,affiliate,zhihu,c_0001,,B客户,received,content attributed revenue
r_0002,2026-03-19,4937.01,digital_product,zhihu,c_0002,,A品牌,overdue,content attributed revenue
r_0003,2026-02-08,198.59,affiliate,zhihu,c_0003,,B客户,received,content attributed revenue
r_0004,2026-03-21,331.61,consulting,bilibili,c_0011,,B客户,received,content attributed revenue
r_0005,2026-03-23,304.24,consulting,douyin,c_0012,,C工作室,pending,content attributed revenue
r_0006,2026-03-24,2785.51,affiliate,xiaohongshu,c_0013,,,received,content attributed revenue
r_0007,2026-02-15,1481.38,digital_product,wechat,c_0014,,A品牌,pending,content attributed revenue
r_0008,2026-02-21,1470.93,consulting,zhihu,c_0015,,A品牌,received,content attributed revenue
r_0009,2026-02-22,1207.52,digital_product,bilibili,c_0016,,C工作室,received,content attributed revenue
r_0010,2026-04-30,793.21,brand_ads,douyin,c_0017,,,received,content attributed revenue
r_0011,2026-02-13,8198.69,course,bilibili,c_0019,,C工作室,received,content attributed revenue
r_0012,2026-05-08,2344.32,brand_ads,zhihu,c_0020,,,received,content attributed revenue
r_0013,2026-03-16,1696.25,digital_product,bilibili,c_0022,,A品牌,received,content attributed revenue
r_0014,2026-03-16,2932.36,digital_product,douyin,c_0023,,C工作室,received,content attributed revenue
r_0015,2026-03-17,1703.68,affiliate,zhihu,c_0024,,B客户,received,content attributed revenue
r_0016,2026-04-10,2583.6,brand_ads,xiaohongshu,c_0026,,C工作室,received,content attributed revenue
r_0017,2026-04-08,6691.77,digital_product,wechat,c_0027,,B客户,received,content attributed revenue
r_0018,2026-05-26,632.72,course,zhihu,c_0030,,,pending,content attributed revenue
r_0019,2026-01-17,3522.11,course,xiaohongshu,c_0031,,B客户,received,content attributed revenue
r_0020,2026-01-21,1153.24,affiliate,wechat,c_0032,,C工作室,overdue,content attributed revenue
r_0021,2026-01-21,18093.33,consulting,wechat,c_0038,,C工作室,received,content attributed revenue
r_0022,2026-03-14,1141.05,consulting,douyin,c_0039,,C工作室,received,content attributed revenue
r_0023,2026-01-15,89.63,digital_product,bilibili,c_0040,,C工作室,received,content attributed revenue
r_0024,2026-05-31,1596.43,consulting,xiaohongshu,c_0042,,A品牌,received,content attributed revenue
r_0025,2026-06-14,608.7,digital_product,bilibili,c_0044,,,pending,content attributed revenue
r_0026,2026-06-20,938.44,digital_product,douyin,c_0045,,,received,content attributed revenue
r_0027,2026-02-26,508.89,course,douyin,c_0047,,C工作室,received,content attributed revenue
r_0028,2026-04-28,92.66,consulting,zhihu,c_0049,,,received,content attributed revenue
r_0029,2026-06-09,360.48,consulting,zhihu,c_0050,,,received,content attributed revenue
r_0030,2026-06-08,260.71,service,bilibili,c_0051,,C工作室,received,content attributed revenue
r_0031,2026-01-30,100.11,service,bilibili,c_0052,,A品牌,received,content attributed revenue
r_0032,2026-06-02,132.72,brand_ads,zhihu,c_0053,,,received,content attributed revenue
r_0033,2026-03-13,100.72,service,bilibili,c_0056,,A品牌,received,content attributed revenue
r_0034,2026-03-14,99.95,consulting,bilibili,c_0057,,C工作室,received,content attributed revenue
r_0035,2026-07-03,167.13,digital_product,xiaohongshu,c_0059,,A品牌,received,content attributed revenue
r_0036,2026-04-07,80.27,service,bilibili,c_0060,,A品牌,received,content attributed revenue
r_0037,2026-01-31,1561.89,digital_product,zhihu,c_0062,,B客户,received,content attributed revenue
r_0038,2026-05-29,102.63,service,zhihu,c_0065,,C工作室,received,content attributed revenue
r_0039,2026-04-23,179.88,consulting,zhihu,c_0067,,A品牌,received,content attributed revenue
