feedback_id,user_id,source_type,related_content_id,related_product_id,user_segment,country,platform,feedback_text,rating,sentiment,issue_type,severity,created_at,converted_after_feedback,retained_after_feedback
F0001,U0001,beta_test,C0001,,creator,CN,xiaohongshu,价格有点高，但情绪陪伴功能很吸引我,3,negative,pricing,high,2026-05-12T14:08:13,True,False
F0002,U0002,review,,P-AI-002,student,US,bilibili,外观很可爱，放在桌面很有陪伴感,5,positive,design,low,2026-05-13T14:08:13,False,True
F0003,U0003,comment,,P-AI-003,office_user,SG,douyin,语音反应有点慢，希望下一版更快,2,negative,performance,high,2026-05-14T14:08:13,False,True
F0004,U0004,survey,C0004,,small_shop,CN,wechat,触摸互动很惊喜，但我还不确定会不会长期使用,4,neutral,emotional_value,medium,2026-05-15T14:08:13,False,False
F0005,U0005,beta_test,,P-LAMP-001,creator,US,zhihu,希望增加日程提醒和更多音乐,4,neutral,feature_request,medium,2026-05-16T14:08:13,True,True
F0006,U0006,review,,P-LAMP-002,student,SG,xiaohongshu,傅里叶变换讲得清楚，但后面几期有点重复,3,negative,content_clarity,medium,2026-05-17T14:08:13,False,True
F0007,U0007,comment,C0007,,office_user,CN,bilibili,高级数学内容收藏价值很高，适合做资料包,5,positive,emotional_value,low,2026-05-18T14:08:13,False,False
F0008,U0008,survey,,P-CASE-002,small_shop,US,douyin,手机壳颜色好看但转化不强，想看真实上手图,2,negative,trust,medium,2026-05-19T14:08:13,False,True
F0009,U0009,beta_test,,P-NOTE-001,creator,SG,wechat,价格有点高，但情绪陪伴功能很吸引我,4,negative,pricing,high,2026-05-20T14:08:13,True,True
F0010,U0010,review,C0010,,student,CN,xiaohongshu,外观很可爱，放在桌面很有陪伴感,4,positive,design,low,2026-05-21T14:08:13,False,False
F0011,U0011,comment,,P-AI-002,office_user,US,bilibili,语音反应有点慢，希望下一版更快,3,negative,performance,high,2026-05-22T14:08:13,False,True
F0012,U0012,survey,,P-AI-003,small_shop,SG,douyin,触摸互动很惊喜，但我还不确定会不会长期使用,5,neutral,emotional_value,medium,2026-05-23T14:08:13,False,True
F0013,U0013,beta_test,C0013,,creator,CN,wechat,希望增加日程提醒和更多音乐,2,neutral,feature_request,medium,2026-05-24T14:08:13,True,False
F0014,U0014,review,,P-LAMP-001,student,US,zhihu,傅里叶变换讲得清楚，但后面几期有点重复,4,negative,content_clarity,medium,2026-05-25T14:08:13,False,True
